,National Anthem,sentiment,na_len,Country,Word Count
Armenia (1944-1991),"   Soviet land, free land – Armenia!   You experienced the severe fate in the past,   Your sons struggled for you,   Nowadays you’ve become the Armenians’ own home.         :   Glorious be, glorious be, our Soviet Armenia!   You’re both an architect and a builder, Armenia!   Being illumined by the fraternal peoples friendship,   You are going to the future, our Armenia!       The October’s life-giving breathing   Have rescued us, the Armenians, from an inevitable ruin.   New times came to us with Lenin.   The light-giving dawn shines.                    Russia extended to us a hand of friendship   The people have created the strong state.   Our Party, reliable and strong,   Is leading us steadily to Communism.  ",NEUTRAL,811,Armenia (1944-1991),811
Argentina,"   Hear, mortals, the sacred cry:   “Freedom! Freedom! Freedom!”   Hear the noise of broken chains,   see the noble Equality enthroned.   Their most honorable throne have opened   the United Provinces of the South.   And the free ones of the world reply:   “To the Argentine people, cheers!”   “To the Argentine people, cheers!”   And the free ones of the world reply:   “To the Argentine people, cheers!”   And the free ones of the world reply:   “To the Argentine people, cheers!”       :   May the laurels be eternal   the ones we managed to win,   the ones we managed to win.   Let us live crowned in glory…   or let us swear in glory to die!   Or let us swear in glory to die!   Or let us swear in glory",NEUTRAL,798,Argentina,798
Armenia,"   Land of our fathers, free, independent,   Which has endured from age to age.   Its sons and daughters now proclaim   Armenia, sovereign and free.   Its sons and daughters now proclaim   Armenia, sovereign and free.       Brother, take this banner,   Made with my own hands,   During sleepless nights,   And bathed in my tears.   During sleepless nights,   And bathed in my tears.       See, it has three colours;   A single hallowed symbol.   May it sparkle before the foe,   May Armenia flourish ever!   May it sparkle before the foe,   May Armenia flourish ever!       Death is everywhere the same,   Man is born just once to die,   But blest is he who gives his life   To defend his nation’s freedom.   But blest is he who gives his life   To defend his nation’s ",NEUTRAL,859,Armenia,859
Artsakh,"   We are building free and independent   Artsakh like a fortress,   The history of my state is written by   Sacred blood of heroes.       You are sacred shrine for ages   Stands as an invincible stronghold   God protected Artsakh   You make eternity real.       Our Fatherland is our light   A temple of love in supplications and hearts   Following precepts of forefathers   Let peace always be in Karabagh!       We are brave descendants of Haik   Like Mrav, Kirs and everlasting Terter   With our temples in high mountains   Keep our country invi",NEUTRAL,639,Artsakh,639
Australia,"   Australians all let us rejoice,   For we are young and free;    We’ve golden soil and wealth for toil,    Our home is girt by sea;    Our land abounds in Nature’s gifts    Of beauty rich and rare;    In history’s page, let every stage    Advance Australia fair!    In joyful strains then let us sing,    “Advance Australia fair!”        Beneath our radiant southern Cross,    We’ll toil with hearts and hands;    To make this Commonwealth of ours    Renowned of all the lands;    For those who’ve come across the seas    We’ve boundless plains to share;    With courage let us all combine    To advance Australia fair.    In joyful strains then let us sing    “Advance Australia",NEUTRAL,771,Australia,771
Aruba,   Aruba beloved home   our venerated cradle   though small and simple you may be   you are indeed esteemed.         :   Aruba our dear country   our rock so well beloved   our love for you is so strong   that nothing can destroy it.    that nothing can destroy it.          Your beaches so much admired   with palm trees all adorned   your coat of arms and flag   the symbols of our pride.                   The greatness of our people   is their great cordiality   and may God guide and preserve   its love for freedom.   ,NEUTRAL,614,Aruba,614
Assyria,"   We stand in salute of our great nation Assyria.   We stand in honor of our forefathers who,   Spread across the earth and guided nations,   To live in peace, prosperity, and achieve greatness ",NEUTRAL,285,Assyria,285
Austria (1929-1938),"   Blessed be endlessly,   Wonderful native land!   Green firs and golden spikes   Friendly adorn your lands.    German labor – earnest and conscientious,   German love – tender and soft –   Fatherland, how marvelous you are,   God with thee, my Austria!       No tyranny, no serfs,   Open way for every force!   Equal duties, equal rights,   Free art and science!   Strong bravery, firm look,   Despite every stroke of fate   Go up along the path of happiness,   God with thee, my Austria!       Let’s, through no discord divided,   Look at one goal,   Let’s in concord and in peace   Build on the boon of future!   Strong youth of our people   Becomes like its forefathers,   Blessed be, native land,   God with thee, my ",POSITIVE,813,Austria (1929-1938),813
Azores,"   Faith and firmness gave birth    In the splendour of a new chant    The Azores are our assurance     Of tracing the glory of a people         :    Ahead! In communion,    For our Autonomy.    Liberty, justice and reason    Are lit up in the lightning    Of the Flag that guides us         :    Ahead! Fight, Battle     For the immortal past    Seed in future the light    Of a triumphant people         Of a destiny achieved with pride    To pick more fruit and flowers    Because this is the sacred way    Of the stars that crown the Azores.         :    Ahead, Azoreans!    For peace in the united land.    We take large flights,    So that branches of deserved victory    Flower better. ",NEUTRAL,783,Azores,783
Austria,"   Land of mountains, land on the River,   Land of fields, land of spires,   Land of hammers, with a rich future,    ,   A nation blessed by its sense of beauty,   Highly praised Austria, highly praised Austria.       Strongly fought for, fiercely contested,   You are in the centre of the Continent   Like a strong heart,   You have born since the earliest days   The burden of a high mission   Much tried Austria, much tried Austria.       Watch us striding free and believing,   With courage, into new eras,   Working cheerfully and full of hope,   In   let us take in unity   The oath of allegiance to you, our country,   Our much beloved Austria, our much beloved ",NEUTRAL,759,Austria,759
Bahamas,"   Lift up your head to the rising sun, Bahamaland;   March on to glory, your bright banners waving high.   See how the world marks the manner of your bearing!   Pledge to excel through love and unity.   Pressing onward, march together to a common loftier goal;   Steady sunward, though the weather hide the wide and treacherous shoal.   Lift up your head to the rising sun, Bahamaland;   Till the road you’ve trod Lead unto your God, March on, Bah",NEUTRAL,538,Bahamas,538
Austria (1920-1929),"   German Austria, you wonderful land, we do love you!   High over alp, beneath glacier dome   Waters stream freely to Danube-flow:   They give drink to lambs and shepherds in highland,   At the falls they drive mills and hammers,   Greet many villages, many towns and stretch   Rejoicing to the aim, our unique Vienna!   You wonderful land, our native land,   We do love you, we stand for you.       German Austria, your people of skills, we do love you!   Your ground is hard and your bread is scarce,   However need makes you clever and strong.   Soles, that like mountains are stable,   Feelings, that like water are live,   Hearts so radiant, full of benevolence   Create themselves their happiness, their art.   Your people of skills, our native people,   We do love you, we stand for you.       German Austria, your people of sense, we do love you!   Need and remorse has stood you in good stead …   Be now in freedom true to yourself!   Is a battlefield anywhere in the realm,   Where bones of your sons haven’t appeared white?   Eventually you’ve broken down the chains.   Be on your own, be yours! Be free!   Your people of sense, our sufferer people,   We do love you, we stand for you.       German Austria, league of mountains lands, we do love you!   Free through the deed and united through choice,   One through the fate and especially through blood.   Welded for ever, land of East Alps!   Faithful to Union and to our people!   Peace to the friend, and to the threatening foe,   Defensive persistence in battle and need!   Your mountainous land, our East Alps land,   We do love you, we stand ",POSITIVE,1701,Austria (1920-1929),1701
Azerbaijan,"   Azerbaijan! Azerbaijan!   O Great Land, your children are heroes.   We are ready to be martyred for you.   We are ready to shed blood for you.   Three-coloured flag, flourish honourably!   Three-coloured flag, flourish honourably!   Thousands of lives have been sacrificed.   Your bosom has become a battlefield.   Every devoted soldier   Has become a hero.   You are prospering.   My life is always dedicated to you.   My love for you is embedded in my heart   A thousand and one times.   To preserve everything   And to honour her flag   All the youth are willing.   Great Land! Great Land!   Azerbaijan! Azerbaijan!   Azerbaijan! Aze",NEUTRAL,729,Azerbaijan,729
Azerbaijan (1944-1992),"   Azerbaijan! The glory, the flowers of the Republic!   The Soviet people to bring a strong new birth of freedom.   October Revolution will be happy to give you infinite courage.   Cheers for the extraordinary wisdom, cheering for the people’s power!        :   Wise leadership of Lenin’s party created, we walk in the road.   Sunshine communism, shines with the city and countryside.   We continue to win tomorrow’s victory laurel to forge ahead.   Long live, long live, Azerbaijan, in the great Soviet land!        The Fire country, Snow peak cultivated proven people.   Fearless thirst for freedom fighting hero is a martyr.   The determination of a thousand memories transmission burst today,   We move towards communism, the pace of a firm and stable.              The friendly people of Russia, the heroic champion of the league,   To firmly hold the sacred sincere hand of friendship.   Forces from alliance unbreakable fraternal peoples,   Let this treasure filled with glorious Soviet motherland!",NEUTRAL,1096,Azerbaijan (1944-1992),1096
Belarus (1920- (government in exile)),"   We will walk in the solid columns   In our free and wide spaces.   Let freedom always be with us,   And we shall resist violence.       Let our free Belarusian spirit   Live always powerful and brave.   Let our white-red-white flag   Symbolize our people’s movement.       Hasten to fight for the happiness and freedom   Of our glorious nation!   Brothers! We’ve suffered enough.   Hasten to fight, all as one.       Let the name and strength of the Belarusian   Be heard and seen by anyone,   Who is bold enough to dictate to us,   Who is first to challenge us to the fight.       Brothers, we are approaching the happiness.   Let the thunder sound more loudly   In the bloody agony we bear   We will restore our Republic’",NEUTRAL,816,Belarus (1920- (government in exile)),816
Bavaria,"   God with you, oh land of Bavarians,   German soil, fatherland!   Above your wide areas   your blessed hand shall rest!   Shall He protect your fields,   shield your cities’ walls   and conserve to you the colours   of His skies, white and blue!   Shall He protect your fields,   shield your cities’ walls   and conserve to you the colours   of His skies, white and blue!       God with you, the people of Bavaria,   that we, worthy like our fathers,   live in unity and peace   creating the source of our happiness!   That, with Germany’s brother-tribes   in consens we are seen by everyone   and proof the legendary glory   of our flag white and blue!   That, with Germany’s brother-tribes   in consens we are seen by everyone   and proof the legendary glory   of our flag white a",NEUTRAL,874,Bavaria,874
Belarus,"   We, the Belarusians, peaceful people,   Our heart is to our native land,   We maintain generous friendship and gain our powers   Within the industrious, free family.            Glory to the bright name of our land,   Glory to the fraternal union of our peoples!   Our beloved mother-Motherland,   Long you live and flourish, Belarus!       Together with brothers, with fortitude, during centuries   We guarded our native thresholds,   In struggles for freedom, in struggles for fate,   We have been gaining our banner of victories.               The friendship of peoples (which is) the power of peoples   Is our venerable, sunny path   You soar up proudly, into the bright heights,   The banner of victory, the banner of jo",NEUTRAL,817,Belarus,817
Bangladesh,"   My Bengal of gold, I love you.   Forever your skies, your air set my heart in tune as if it were a flute.   In spring, O mother mine, the fragrance from your mango groves makes me wild with joy,   Ah, what a thrill!   In autumn, O mother mine, in the full blossomed paddy fields I have seen spread all over sweet smiles.   Ah, what beauty, what shades, what an affection, and what tenderness!   What a quilt have you spread at the feet of banyan trees and along the banks of rivers!   O mother mine, words from your lips are like nectar to my ears.   Ah, what a thrill!   If sadness, O mother mine, casts a gloom on your face, my eyes are filled wit",POSITIVE,742,Bangladesh,742
Bahrain,"   Our Bahrain   Our King   A symbol of the harmony   Its constitution is high in the place and the position   Its charter is the way of (method of) sharia, Arabism and the values   Long live the kingdom of Bahrain      Country of nobles   Cradle of peace   Its constitution is high in the place and the position   Its charter is the way of (method of) sharia, Arabism and the values   Long live the kingdom of",NEUTRAL,500,Bahrain,500
Barbados,"   In plenty and in time of need   When this fair land was young   Our brave forefathers sowed the seed   From which our pride is sprung,   A pride that makes no wanton boast   Of what it has withstood   That binds our hearts from coast to coast –    The pride of nationhood.         We loyal sons and daughters all   Do hereby make it known   These fields and hills beyond recall   Are now our very own.   We write our names on history’s page   With expectations great,   Strict guardians of our heritage,   Firm craftsmen of our fate.        The Lord has been the people’s guide   For past three hundred years.   With him still on the people’s side   We have no doubts or fears.   Upward and onward we shall go,   Inspired, exulting, free,   And greater will our nation grow   In strength and unity",NEUTRAL,890,Barbados,890
Belarus (1955-1991),"   We, the Belarusians, together with fraternal Rus’,    Looked for roads to fortune.    In struggles for freedom, in struggles for fate,    We have gained our banner of victories.            We were united by the name of Lenin    The Party leads us in the quest to happiness    Glory to the Party! Glory to the Motherland!    Glory to you, Belarusian people!         Gathering strength, people of Belarus    In a fraternal union, in a powerful family    Forever we shall, free men,    Live in a happy and free land!            The name of Lenin united us,    The Party leads us in the quest to happiness    Glory to the Party! Glory to the Motherland!    Glory to you, our free people!         The friendship of peoples – the strength of peoples,    To happiness sunny path    Proudly we raise to sky heights,    The flag of Communism – the flag of joy!            The name of Lenin united us,    The Party leads us in the quest to happiness    Glory to the Party! Glory to the Motherland!    Glory to you, our Soviet ",NEUTRAL,1109,Belarus (1955-1991),1109
Belize,"   O, land of the free by the Carib Sea,   our manhood we pledge to thy liberty!   No tyrants here linger, despots must flee   This tranquil haven of democracy   The blood of our sires which hallows the sod,   Brought freedom from slavery oppression’s rod,   By the might of truth and the grace of God.   No longer shall we be hewers of wood.         Arise! ye sons of the Baymen’s clan,   put on your armour, clear the land!   Drive back the tyrants, let despots flee-   Land of the Free by the Carib Sea!       Nature has blessed thee with wealth untold,   O’er mountains and valleys where praries roll;   Our fathers, the Baymen, valiant and bold   Drove back the invader; this heritage hold   From proud Rio Hondo to old Sarstoon’   Through coral isle, over blue lagoon;   Keep watch with the angels, the stars and moon;   For freedom comes tomorrow’s noon",NEUTRAL,950,Belize,950
Bolivia,"   Bolivians, a most favorable destiny   has at long last crowned our vows and longings;   This land is free, free at last.   Its servile state has now finally ceased.   The martial turmoil of yesterday,   and the horrible clamor of war,   are followed today, in harmonious contrast,   by sweet hymns of peace and unity.   Are followed today, in harmonious contrast,   by sweet hymns of peace and unity.            Let us keep the lofty name of our country   in glorious splendor.   And, on its altars, once more we must swear:   to die before we would live as slaves.   To die before we would live as slaves.   To die before we would live as slaves.       Eternal praise to the brave warriors   whose heroic valor and firmness   conquered the freedom and glories that now   a happy Bolivia justly begins to enjoy!   Let their names, preserved forever in marble and bronze,   transmit their glory to remote future ages.   And in resounding song let them repeat their simple call:   Freedom! Freedom! Freedom!   And in resounding song let them repeat their simple call:   Freedom! Freedom! Freedom!               Here has Justice erected its Throne   which vile oppression ignores   and, on its glorious stamp let us rejoice   Freedom, freedom, freedom   This innocent and beautiful land,   which owes its name to Bolívar,   is the happy homeland where mankind   enjoys the benefits of good fortune and peace.   Is the happy homeland where mankind   enjoys the benefits of good fortune and peace.             If a foreigner may, any given day   even attempt to subjugate Bolivia,   let him prepare for a fatal destiny,   which menaces such brave aggressor.   For the sons of the mighty Bolívar   have sworn, thousands upon thousands of times,   to die rather than see the country’s   majestic banner humiliated.   To die rather than see the country’s   majestic banner humilia",NEUTRAL,1965,Bolivia,1965
Biafra,"   Land of the rising sun, we love and cherish,   Beloved homeland of our brave heroes;   We must defend our lives or we shall perish,   We shall protect our hearts from all our foes;   But if the price is death for all we hold dear,   Then let us die without a shred of fear.        Hail to Biafra, consecrated nation,   Oh fatherland, this be our solemn pledge:   Defending thee shall be a dedication,   Spilling our blood we’ll count a privilege;   The waving standard which emboldens the free   Shall always be our flag of liberty.        We shall emerge triumphant from this ordeal,   And through the crucible unscathed we’ll pass;   When we are poised the wounds of battle to heal,   We shall remember those who died in mass;   Then shall our trumpets peal the glorious song   Of victory we scored o’er might and wrong.        Oh God, protect us from the hidden pitfall,   Guide all our movements lest we go astray;   Give us the strength to heed the humanist call:   ‘To give and not to count the cost” each day;   Bless those who rule to serve with resoluteness,   To make this clime a land of righte",POSITIVE,1198,Biafra,1198
Bermuda,   Hail to Bermuda   My island in the sun   Sing out in glory   To the nation we’ve become   We’ve grown from heart to heart   And strength to strength   This privilege is mine   To sing long live Bermuda   Because this island’s mine       Hail to Bermuda   My homeland dear to me   This is my own land   Built on strength and unity   We’ve grown from heart to heart   And strength to strength   For loyalty is prime   And sing long live Bermuda   Because this island,NEUTRAL,557,Bermuda,557
Benin,"     Children of Benin, arise!   The resounding cry of freedom   Is heard at the first light of dawn;   Children of Benin, arise!       Formerly, at her call, our ancestors   Knew how to engage in mighty battles   With strength, courage, ardour, and full of joy, but at the price of blood.   Builders of the present, you too, join forces   Each day for the task stronger in unity.   Build without ceasing for posterity.             When all around there blows a wind of anger and hate:   Citizen of Benin, be proud, and in a calm spirit   Trusting in the future, behold your flag!   In the green you read hope of spring;   The red signifies the courage of your ancestors;   The yellow foretells the richest treasures.             Beloved Benin, your sunny mountains, palm trees, and green pastures   Show everywhere your brightness;   Your soil offers everyone the richest fruits.   Benin, from henceforth your sons are united   With one brotherly spirit sharing the hope of seeing you   Enjoy abundance and happiness for ever",NEUTRAL,1116,Benin,1116
Bonaire,"   Land of the sun and soft breeze   Proud land resurrected from the sea   Modest people, always satisfied   Always bravely defending themselves   Let us try every day   To announce Bonaire   And we sing in good harmony:   Delightful Bonaire, our beloved fatherland       Let us together as Bonaireans   All sing and raise our voices   we, being children of a healthy race   Always happy, beleiving in God   No power can take us this love away   As we feel it for our island   Although it’s small and not perfect   We love it more than a",NEUTRAL,627,Bonaire,627
Bhutan,"   In the Kingdom of Druk, where cypresses grow,   Refuge of the glorious monastic and civil traditions,   The King of Druk, precious sovereign.   His being is eternal, his reign prosperous,   The enlightenment teachings thrive and flourish,   May the people shine like the sun of peace and hap",NEUTRAL,384,Bhutan,384
Bophuthatswana,"   This land of our Forefathers     It is given to us by God     Without shedding of blood     Let us give thanks, and rejoice     Let us give thanks, and rejoice          This land of our Forefathers     We pledge our lives to it     We shall labour for it     Till the sweat turns to blood     Till the sweat turns to blood          This land of cattle and corn     Our lasting heritage     May God safeguard it fittingly     That we may live in it safely     That we may live in it safely          God bless our land     That peace and harmony may reign     God bless our Government and nation     That in good health we may produce lifegiving fruits.    That in good health we may produce lifegiving ",NEUTRAL,794,Bophuthatswana,794
Bosnia and Herzegovina (1992-1999),   I pledge my loyalty to you   my thousand year old land   from Sava to the sea   from Drina to Una           You are unique   the only homeland I have   you are unique   Bosnia and Herzegovina       May God save you   for the generations to come   you are the land of my dreams   the land of my forefat,POSITIVE,394,Bosnia and Herzegovina (1992-1999),394
Brazil,"   The Ypiranga’s placid banks heard    The resounding shouting of a heroic people.   And the sun of freedom, in bright rays,   Shone at this moment in the homeland’s skies.   As the promise of this equality   Was secured by our strong arms,   In your bosom, O Freedom,   We are ready to die.      O beloved, idolized homeland, hail, hail!   Brazil, a vivid dream, a lively ray   Of love and hope settles on the earth,   As in your beautiful sky, smiling and limpid,   The image of the Southern Cross shines resplendent.   A giant by nature, you are beautiful,   Strong, an intrepid colossus,   And your future mirrors this grandeur.            O land we adore, among a thousand others   You are the beloved one.   You are the gentle mother of the sons of this land,   Beloved homeland, Brazil!       Eternally laid in a splendid cradle,   To the sound of the sea and the light from the depths of the sky,   Brazil, you gleam, fleuron of the Americas,   Illuminated by the sun of the New World.   Your smiling, lovely fields have more flowers   Than the most attractive land elsewhere,   Our forests have more life,   Our life in your bosom more love.      O beloved, idolized homeland, hail, hail!   Brazil, may you have as eternal symbol   The starry banner you display,   And may the green laurel of this pennant speak   Of peace in the future and glory in the past.   But if you raise a strong cudgel in the name of justice,   You will see that a son of yours does not run from a fight,   Nor does one who adores you fear de",NEUTRAL,1618,Brazil,1618
Bulgaria (royal anthem:  1908-1944),"   Almighty God of Justice,   We implore you to protect our Tsar.   Endow him with strength   To crush all foes.      For the foes’ defeat   And a bright future   Grant, o Lord, the Tsar of Tsars,   Sunlit days to our Tsar.        And to the Bulgarian tribe,   Enlighten, God, the mind,   To fill with love,   And blossom together.      With agreement so it could,   Strength, will, it to develop,   With development, allow it God,   A glorious name",NEUTRAL,539,Bulgaria (royal anthem:  1908-1944),539
Brittany,"   We Bretons of courage, we love our true Country     is famous throughout the world   Without fear, and a warrior’s heart, our great ancestors   Shed their blood for her            Oh Brittany, my Country! I love my Country.   As long as the sea will be a wall around her.   Be free my Country!       Brittany, land of saints and old land of Bards   There is no other country in the world that I love so much   Every mountain, every valley is dear to my heart   In them sleep many a bold Breton.          The Breton people are hard and strong   No nation under heaven is so courageous.   Sad ballads, charming songs spring up in her   O! How beautiful you are, my Country!          If you have once fallen in wars, Brittany   Your language has remained alive for ever   His fervent heart trembles even for her.   You’re awake now my Britt",POSITIVE,930,Brittany,930
Botswana,"      This land of ours,   Is a gift from God,   An inheritance from our fore-fathers,   May it always be at peace.            Awake, awake, O men, awake!   Arise, O women, arise! be energised,   Let us work together to serve,   Our land.       Beautiful name of fame   Of the nation of Botswana   Through harmonious relations and reconciliation   Bound together                 English versification    Blessèd be this noble land,     Gift to us from God’s strong hand,     Heritage our fathers left to us.     May it always be at peace.              Awake, awake, O men, awake!     And women close beside them stand,     Together we’ll work and serve     This land, this happy land!           Word of beauty and of fame,     The name Botswana to us came.     Through our unity and harmony,     We’ll remain at peace as on",NEUTRAL,913,Botswana,913
Brunei,"   God bless His Majesty   With a long life   Justly and nobly rule the Kingdom   And lead our people happily forever   Peacefully be, the Kingdom and Sultan   Lord, save Brunei, the abode o",NEUTRAL,280,Brunei,280
Bulgaria (1885-1944),"   Maritsa rushes,   stained with blood,   A widow wails,   fiercely wounded.        March, march,   with our General,   Let’s fly into battle   and crush the enemy!        Bulgarians,   the whole world beholds you.   Into a winning battle,   let’s gloriously go.            The Balkan lion   leads us flying   Into a gigantic battle   with the enemy hordes.            Young and strong,   in the rattle of battle   We’re destined to gain   laurels to claim.            We’re the nation,   our pride, liberation,   And dear fatherland   till death shall defe",NEUTRAL,648,Bulgaria (1885-1944),648
